date,mkt_rf,smb,hml,umd,rf
1949-08-01,0.026000000000000002,0.002,-0.0055000000000000005,0.0172,9e-4
1949-09-01,0.030899999999999997,0.01,0.0019,-0.0141,9e-4
1949-10-01,0.031400000000000004,0.0104,-0.0048,6e-4,9e-4
1949-11-01,0.0182,-0.0102,-0.0096,0.012199999999999999,8e-4
1949-12-01,0.0513,0.0206,0.0177,-0.0078000000000000005,9e-4
1950-01-01,0.017,0.0333,0.0012,-0.023399999999999997,9e-4
1950-02-01,0.0148,3e-4,-0.0079,0.0139,9e-4
1950-03-01,0.0126,-0.0144,-0.0281,0.0147,0.001
1950-04-01,0.0394,0.0194,0.013000000000000001,0.0040999999999999995,9e-4
1950-05-01,0.0431,-0.021,0.0046,0.0037,0.001
1950-06-01,-0.0594,-0.023399999999999997,-0.006999999999999999,-0.0158,0.001
1950-07-01,0.013600000000000001,0.0069,0.1356,-0.004699999999999999,0.001
1950-08-01,0.048499999999999995,0.0076,-0.015,0.0319,0.001
1950-09-01,0.0481,0.0049,-0.010700000000000001,-0.0017000000000000001,0.001
1950-10-01,-0.0018,-0.004699999999999999,0.013000000000000001,0.015300000000000001,0.0012
1950-11-01,0.0276,-0.0089,0.0333,0.0363,0.0011
1950-12-01,0.0554,0.0147,0.0736,0.0499,0.0011
1951-01-01,0.057,0.0176,0.0364,0.02,0.0013
1951-02-01,0.0141,8e-4,-0.0285,-0.0155,0.001
1951-03-01,-0.0215,-0.0077,-0.040999999999999995,-0.0297,0.0011
1951-04-01,0.048600000000000004,-0.014499999999999999,0.0327,0.0601,0.0013
1951-05-01,-0.023399999999999997,0,-0.0137,-0.009300000000000001,0.0012
1951-06-01,-0.0262,-0.0206,-0.0375,-0.023799999999999998,0.0012
1951-07-01,0.0694,-0.0199,0.0206,0.0727,0.0013
1951-08-01,0.042699999999999995,0.009899999999999999,-0.0013,0.01,0.0013
1951-09-01,0.006999999999999999,0.0187,0.0063,0.0049,0.0012
1951-10-01,-0.0253,-0.0022,0.0023,-0.002,0.0016
1951-11-01,0.005699999999999999,-0.0032,-6e-4,0.005699999999999999,0.0011
1951-12-01,0.0333,-0.0226,-0.0159,0.0168,0.0012
1952-01-01,0.014499999999999999,-0.0060999999999999995,0.0155,0.013500000000000002,0.0015
1952-02-01,-0.0262,0.008199999999999999,-0.0060999999999999995,-0.0068000000000000005,0.0012
1952-03-01,0.0444,-0.029900000000000003,0.0217,0.0159,0.0011
1952-04-01,-0.049699999999999994,0.0046,-0.001,-0.0206,0.0012
1952-05-01,0.032,-0.01,4e-4,0.0051,0.0013
1952-06-01,0.0383,-0.016399999999999998,0.0124,0.0148,0.0015
1952-07-01,0.0091,-0.004,-0.0034999999999999996,-0.005699999999999999,0.0015
1952-08-01,-0.0076,0.0115,1e-4,0.0034000000000000002,0.0015
1952-09-01,-0.0203,0.0111,-0.0152,0.017,0.0016
1952-10-01,-0.0066,-0.0105,-0.0046,0.0282,0.0014000000000000002
1952-11-01,0.0594,-0.0072,0.0097,0.0048,0.001
1952-12-01,0.029300000000000003,-0.0148,0.0019,0.0159,0.0016
1953-01-01,-0.0034000000000000002,0.0361,0.0132,0.0070999999999999995,0.0016
1953-02-01,-0.0027,0.0215,-9e-4,0.0088,0.0014000000000000002
1953-03-01,-0.0143,-0.0022,-0.0085,7.000000000000001e-4,0.0018
1953-04-01,-0.028300000000000002,0.003,0.015700000000000002,0.0191,0.0016
